0,square,500,contamined,0.2,0,1.0,0.09088346462239397
1,l1,500,contamined,0.2,0,1.0,0.014035898621612397
2,square,400,contamined,0.2,0,1.0,0.0780087007097596
3,l1,400,contamined,0.2,0,1.0,0.028521078059840086
4,square,300,contamined,0.2,0,1.0,0.05725322550966386
5,l1,300,contamined,0.2,0,1.0,0.007196537525946323
6,square,200,contamined,0.2,0,1.0,0.28940839314378797
7,l1,200,contamined,0.2,0,1.0,0.13135859569774344
8,square,100,contamined,0.2,0,1.0,0.14406086742201538
9,l1,100,contamined,0.2,0,1.0,0.10570986546613982
10,square,500,normal,0.2,0,1.0,0.012841364058607883
11,l1,500,normal,0.2,0,1.0,0.008036463353929924
12,square,400,normal,0.2,0,1.0,0.038604012777757185
13,l1,400,normal,0.2,0,1.0,0.037808989444390644
14,square,300,normal,0.2,0,1.0,0.011820460919530673
15,l1,300,normal,0.2,0,1.0,0.00758807061721945
16,square,200,normal,0.2,0,1.0,0.017852770037818155
17,l1,200,normal,0.2,0,1.0,0.016861043231223914
18,square,100,normal,0.2,0,1.0,0.04438332161726584
19,l1,100,normal,0.2,0,1.0,0.10992711032312795
20,square,500,t1,0.2,0,1.0,0.11883813418465644
21,l1,500,t1,0.2,0,1.0,0.02916199297877686
22,square,400,t1,0.2,0,1.0,0.05227090021396798
23,l1,400,t1,0.2,0,1.0,0.013555809610477833
24,square,300,t1,0.2,0,1.0,0.20497165815006485
25,l1,300,t1,0.2,0,1.0,0.03408769813782696
26,square,200,t1,0.2,0,1.0,0.7232399566884253
27,l1,200,t1,0.2,0,1.0,0.03395803036159174
28,square,100,t1,0.2,0,1.0,0.2915997956554393
29,l1,100,t1,0.2,0,1.0,0.020334026390162453
30,square,500,outlinear,0,100,1.0,1.6033851289046714
31,l1,500,outlinear,0,100,1.0,0.009111992665873528
32,square,400,outlinear,0,80,1.0,1.4129026549443608
33,l1,400,outlinear,0,80,1.0,0.0131386172286709
34,square,300,outlinear,0,60,1.0,1.970499170795442
35,l1,300,outlinear,0,60,1.0,2.2459772970946426
36,square,200,outlinear,0,40,1.0,2.2167741619926726
37,l1,200,outlinear,0,40,1.0,0.009004561484460083
38,square,100,outlinear,0,20,1.0,1.1284649403350115
39,l1,100,outlinear,0,20,1.0,0.025985567399635284
40,square,500,outlinear,0.2,100,1.0,1.5957025578988528
41,l1,500,outlinear,0.2,100,1.0,0.04071900378805743
42,square,400,outlinear,0.2,80,1.0,1.389616678714394
43,l1,400,outlinear,0.2,80,1.0,0.03291142673731751
44,square,300,outlinear,0.2,60,1.0,1.9702100201229706
45,l1,300,outlinear,0.2,60,1.0,0.062466386043109626
46,square,200,outlinear,0.2,40,1.0,2.182835181607342
47,l1,200,outlinear,0.2,40,1.0,0.029675169462297164
48,square,100,outlinear,0.2,20,1.0,1.1270573390208454
49,l1,100,outlinear,0.2,20,1.0,0.06122123472242312
